,text,intent
50,"Ti pregherei di spostarti nella stanza a sinistra, per favore.",MoveToRoom
51,"Vai nella stanza a sinistra, per favore.",MoveToRoom
52,Vai nella stanza a sinistra.,MoveToRoom
53,Vai nella stanza a sinistra immediatamente.,MoveToRoom
54,"Scusa, potresti spostarti nella stanza a sinistra, per favore?",MoveToRoom
55,"Potresti gentilmente spostarti nella stanza a sinistra, per favore?",MoveToRoom
56,Potresti spostarti nella stanza a sinistra per favore?,MoveToRoom
57,Potresti gentilmente spostarti nella stanza a sinistra?,MoveToRoom
58,"Ti prego, spostati nella stanza a sinistra.",MoveToRoom
59,Potresti per favore spostarti nella stanza a sinistra?,MoveToRoom
60,Vai nella stanza a sinistra subito!,MoveToRoom
61,"Sposta nella stanza a sinistra, adesso!",MoveToRoom
62,Spostati nella stanza a sinistra ora!,MoveToRoom
63,"Bambino, muoviti nella stanza a sinistra adesso stesso!",MoveToRoom
64,Spostati subito nella stanza a sinistra.,MoveToRoom
65,"Ciao piccolo, ti andrebbe di spostarti gentilmente nella stanza a sinistra?",MoveToRoom
66,"Ciao piccolo amico, sarebbe possibile per te spostarti gentilmente nella stanza a sinistra per favore? Grazie mille!",MoveToRoom
67,"Bambino, spostati nella stanza a sinistra.",MoveToRoom
68,"Spostati nella stanza a sinistra, per favore.",MoveToRoom
69,"Bambino, spostati nella stanza a sinistra adesso.",MoveToRoom
70,"Ciao, potresti spostarti gentilmente nella stanza a sinistra, per favore?",MoveToRoom
71,"Ciao, potresti spostarti gentilmente nella stanza a sinistra per favore?",MoveToRoom
72,"Per favore, vai nella stanza a sinistra.",MoveToRoom
73,Potresti per favore andare nella stanza a sinistra?,MoveToRoom
74,"Per favore, vai nella stanza a sinistra, grazie.",MoveToRoom
75,"Per favore, potrebbe spostarsi nella stanza a sinistra, per favore?",MoveToRoom
76,"Prego, spostati nella stanza a sinistra.",MoveToRoom
77,"Scusi, potrebbe gentilmente spostarsi nella stanza a sinistra per favore?",MoveToRoom
78,"Scusi, potrebbe spostarsi gentilmente nella stanza a sinistra, per favore?",MoveToRoom
79,"Ciao, scusa se ti disturbo. Potresti spostarti gentilmente nella stanza a sinistra per favore? Grazie mille!",MoveToRoom
80,"Ciao, scusa se ti disturbo. Potresti gentilmente spostarti nella stanza a sinistra? Grazie mille!",MoveToRoom
81,"Per favore, potresti spostarti gentilmente nella stanza a sinistra?",MoveToRoom
82,"Ciao, potresti gentilmente spostarti nella stanza a sinistra per favore?",MoveToRoom
83,"Ciao, potresti per favore spostarti gentilmente nella stanza a sinistra?",MoveToRoom
84,"Potresti, per favore, spostarti nella stanza a sinistra?",MoveToRoom
85,"Muoviti nella stanza a destra adesso, senza fare storie.",MoveToRoom
86,Vai nella stanza a destra adesso.,MoveToRoom
87,"Muoviti nella stanza a destra, adesso.",MoveToRoom
88,Muoviti nella stanza a destra adesso.,MoveToRoom
89,Spostati nella stanza a destra adesso.,MoveToRoom
90,Vai nella stanza a destra adesso!,MoveToRoom
91,Spostati nella stanza a destra subito.,MoveToRoom
92,"Spostati subito nella stanza a destra, adesso!",MoveToRoom
93,"Spostati nella stanza a destra adesso, senza discussioni.",MoveToRoom
94,Spostati nella stanza a destra immediatamente.,MoveToRoom
95,"Vai nella stanza a destra adesso, senza perdere tempo!",MoveToRoom
96,"Mi scusi, signore, potrebbe gentilmente spostarsi nella stanza a destra? Grazie mille.",MoveToRoom
97,"Potrebbe spostarsi nella stanza a destra, per favore?",MoveToRoom
98,"Per favore, spostati nella stanza a destra.",MoveToRoom
99,Si prega di spostarsi nella stanza a destra.,MoveToRoom
100,"Si prega di spostarsi nella stanza a destra, grazie.",MoveToRoom
101,"Scusi, potrebbe gentilmente spostarsi nella stanza a destra, per favore?",MoveToRoom
102,"Scusi, potrebbe spostarsi gentilmente nella stanza a destra, per favore?",MoveToRoom
103,"Potrebbe spostarsi gentilmente nella stanza a destra, per favore?",MoveToRoom
104,Potrebbe spostarsi gentilmente nella stanza a destra per favore?,MoveToRoom
105,"Mi scusi, potrebbe gentilmente spostarsi nella stanza a destra, per favore?",MoveToRoom
106,"Per favore, potresti spostarti nella stanza a destra?",MoveToRoom
107,"Potresti spostarti nella stanza a destra, per favore?",MoveToRoom
108,"Scusa, potresti per favore spostarti nella stanza a destra? Ti ringrazio molto.",MoveToRoom
109,"Scusa, potresti spostarti gentilmente nella stanza a destra, per favore? Grazie mille.",MoveToRoom
110,"Scusa, potresti spostarti gentilmente nella stanza a destra per favore?",MoveToRoom
111,"Scusa, potresti per favore spostarti nella stanza a destra? Grazie mille, apprezzo la tua gentilezza.",MoveToRoom
112,"Scusa, potresti gentilmente spostarti nella stanza a destra, per favore?",MoveToRoom
113,"Scusa se ti disturbo, potresti per favore spostarti gentilmente nella stanza a destra?",MoveToRoom
114,"Mi dispiace disturbarti, ma avresti la gentilezza di spostarti nella stanza a destra per favore?",MoveToRoom
115,"Potresti gentilmente spostarti nella stanza a destra, per favore?",MoveToRoom
116,"Spostati nella stanza a destra, per favore.",MoveToRoom
117,"Scusa, potresti spostarti gentilmente nella stanza a destra, per favore?",MoveToRoom
118,"Scusa, potresti spostarti nella stanza a destra? Grazie!",MoveToRoom
119,"Scusami, potresti gentilmente spostarti nella stanza a destra per favore?",MoveToRoom
120,"Potresti spostarti gentilmente nella stanza a destra, per favore?",MoveToRoom
121,Potresti spostarti nella stanza a destra per favore?,MoveToRoom
122,"Spostati subito nella stanza a destra, senza fare storie.",MoveToRoom
123,Sposta la tua stanza a destra adesso!,MoveToRoom
124,"Spostati nella stanza a destra, adesso.",MoveToRoom
125,Sposta la tua posizione nella stanza a destra adesso!,MoveToRoom
126,Spostati nella stanza a destra adesso!,MoveToRoom
127,"Muoviti nella stanza a destra immediatamente, senza indugiare.",MoveToRoom
128,"Spostati nella stanza a destra adesso, senza perdere tempo.",MoveToRoom
129,"Spostati nella stanza a destra ora stesso, senza discutere.",MoveToRoom
130,"Spostati nella stanza a destra adesso, senza perdere tempo!",MoveToRoom
131,"Spostati nella stanza a destra adesso, senza discutere!",MoveToRoom
132,"Scusa, potresti gentilmente spostarti nella stanza a destra per favore? Grazie mille.",MoveToRoom
133,"Scusa, potresti gentilmente spostarti nella stanza a destra per favore?",MoveToRoom
134,"Ti pregherei di spostarti nella stanza a destra, per favore.",MoveToRoom
135,Ti prego di spostarti nella stanza a destra.,MoveToRoom
136,"Perfavore, spostati nella stanza a destra.",MoveToRoom
137,"Vai nella stanza a destra, per favore.",MoveToRoom
138,"Ti prego di spostarti nella stanza a destra, per favore.",MoveToRoom
139,"Per favore, spostati nella stanza a destra adesso.",MoveToRoom
140,Vai nella stanza a destra.,MoveToRoom
141,"Scusa, potresti spostarti nella stanza a destra, per favore?",MoveToRoom
142,"Scusa, potresti spostarti nella stanza a destra per favore?",MoveToRoom
143,"Ciao, potresti spostarti nella stanza a destra per favore?",MoveToRoom
144,Potresti gentilmente spostarti nella stanza a destra per favore?,MoveToRoom
145,"Puoi spostarti nella stanza a destra, per favore?",MoveToRoom
146,Vai nella stanza a destra ora!,MoveToRoom
147,"Spostati nella stanza a destra, adesso!",MoveToRoom
148,Muoviti a destra adesso!,MoveToRoom
149,Sposta nella stanza a destra adesso!,MoveToRoom
150,Vai nella stanza a destra subito!,MoveToRoom
151,"Vai nella stanza a destra, adesso!",MoveToRoom
152,"Ciao piccolo amico, potresti gentilmente spostarti nella stanza a destra? Grazie mille!",MoveToRoom
153,"Bambino, spostati nella stanza a destra, per favore.",MoveToRoom
154,"Bambino, ti pregherei di spostarti nella stanza a destra.",MoveToRoom
155,"Bambino, spostati nella stanza a destra.",MoveToRoom
156,"Bambino, spostati nella stanza a destra adesso.",MoveToRoom
157,"Vai nella stanza a destra, ora.",MoveToRoom
158,Sposta-te nella stanza a destra.,MoveToRoom
159,"Bambino, spostati nella stanza a destra immediatamente.",MoveToRoom
160,"Ciao, potresti spostarti gentilmente nella stanza a destra, per favore?",MoveToRoom
161,"Ciao, potresti spostarti gentilmente nella stanza sulla tua destra, per favore?",MoveToRoom
162,Ciao! Potresti per favore spostarti nella stanza a destra?,MoveToRoom
163,"Ciao! Potresti spostarti gentilmente nella stanza a destra, per favore?",MoveToRoom
164,"Per favore, vai nella stanza a destra.",MoveToRoom
165,"Spostati gentilmente nella stanza a destra, per favore.",MoveToRoom
166,"Per favore, puoi andare nella stanza a destra?",MoveToRoom
167,"Per favore, potresti spostarti nella stanza a destra per un momento?",MoveToRoom
168,"Mi scusi, signora. Potrebbe gentilmente spostarsi nella stanza a destra, per favore? Grazie mille.",MoveToRoom
169,"Mi scusi, signora. Le farebbe piacere spostarsi gentilmente nella stanza a destra? Grazie mille per la sua cortesia.",MoveToRoom
170,"Mi scusi signora, potrebbe per favore spostarsi gentilmente nella stanza a destra?",MoveToRoom
171,"Mi scusi, potrebbe spostarsi nella stanza a destra, per favore?",MoveToRoom
172,"Scusami, potresti spostarti nella stanza a destra, per favore?",MoveToRoom
173,"Potrebbe gentilmente spostarsi nella stanza a destra, per favore?",MoveToRoom
174,"Mi scusi, potrebbe spostarsi gentilmente nella stanza a destra per favore?",MoveToRoom
175,"Scusami, potresti spostarti gentilmente nella stanza a destra per favore?",MoveToRoom
176,"Sarebbe possibile per lei spostarsi nella stanza a destra, per favore?",MoveToRoom
177,"Ciao, scusa. Ti dispiacerebbe spostarti nella stanza a destra per favore? Grazie mille!",MoveToRoom
178,"Ciao, scusa se ti disturbo. Potresti gentilmente spostarti nella stanza a destra, per favore? Grazie mille!",MoveToRoom
179,"Ciao, potresti gentilmente spostarti nella stanza a destra, per favore?",MoveToRoom
180,"Scusa, potresti spostarti gentilmente nella stanza a destra?",MoveToRoom
181,"Per favore, potresti spostarti gentilmente nella stanza a destra?",MoveToRoom
182,"Vai nella stanza a sud, adesso.",MoveToRoom
183,"Vai nella stanza a sud adesso, senza perdere tempo.",MoveToRoom
184,Muoviti nella stanza a sud immediatamente.,MoveToRoom
185,"Muoviti nella stanza a sud, adesso.",MoveToRoom
186,Muoviti nella stanza a sud adesso.,MoveToRoom
187,Vai nella stanza a sud adesso.,MoveToRoom
188,"Vai nella stanza a sud, adesso!",MoveToRoom
189,Vai nella stanza a sud immediatamente.,MoveToRoom
190,"Spostati nella stanza a sud, adesso!",MoveToRoom
191,"Spostati immediatamente nella stanza a sud, adesso!",MoveToRoom
192,"Spostati subito nella stanza a sud, adesso.",MoveToRoom
193,"Mi scusi, gentilmente potrebbe spostarsi nella stanza a sud?",MoveToRoom
194,"Scusi, potrebbe gentilmente spostarsi nella stanza a sud?",MoveToRoom
195,"Mi scusi, potrebbe gentilmente spostarsi nella stanza a sud per favore?",MoveToRoom
196,"Mi scusi, potrebbe spostarsi nella stanza a sud, per favore? Grazie.",MoveToRoom
197,"Mi scusi, potrebbe gentilmente spostarsi nella stanza a sud? Grazie.",MoveToRoom
198,Si prega di spostarsi nella stanza a sud. Grazie.,MoveToRoom
199,"Per favore, spostati nella stanza a sud.",MoveToRoom
200,Si prega di spostarsi nella stanza a sud in modo immediato. Grazie.,MoveToRoom
201,"Per favore, spostati nella stanza a sud ora.",MoveToRoom
202,Si prega di spostarsi nella stanza a sud immediatamente.,MoveToRoom
203,"Per favore, spostati nella stanza a sud",MoveToRoom
204,"Prego, spostati nella stanza a sud immediatamente.",MoveToRoom
205,"Per favore, spostati nella stanza a sud senza esitazione.",MoveToRoom
206,"Per favore, spostati nella stanza a sud in modo freddo e distaccato.",MoveToRoom
207,"Scusi, potrebbe spostarsi gentilmente nella stanza a sud per favore?",MoveToRoom
208,"Mi scusi, potrebbe spostarsi gentilmente nella stanza a sud per favore?",MoveToRoom
209,"Mi scusi, per cortesia potrebbe spostarsi nella stanza a sud? Grazie.",MoveToRoom
210,"Potrebbe gentilmente spostarsi nella stanza a sud, per favore?",MoveToRoom
211,"Potrebbe spostarsi gentilmente nella stanza a sud, per favore?",MoveToRoom
212,"Potresti gentilmente spostarti nella stanza a sud, per favore?",MoveToRoom
213,"Scusa, potresti per favore spostarti nella stanza a sud? Ti ringrazio molto gentilmente.",MoveToRoom
214,"Ciao, scusa se ti disturbo. Volevo chiederti gentilmente se potresti spostarti nella stanza a sud per favore? Grazie mille.",MoveToRoom
215,"Scusa, potresti per favore spostarti nella stanza a sud? Ti ringrazio tanto.",MoveToRoom
216,"Scusa, potresti per favore spostarti nella stanza a sud? Grazie mille!",MoveToRoom
217,"Scusa, potresti per favore spostarti nella stanza a sud? Grazie mille.",MoveToRoom
218,Potresti per favore spostarti nella stanza a sud? Grazie.,MoveToRoom
219,"Ti pregherei di spostarti nella stanza a sud, per favore.",MoveToRoom
220,"La pregherei gentilmente di spostarsi nella stanza a sud, grazie.",MoveToRoom
221,"Vorrei che tu ti spostassi nella stanza a sud, per favore.",MoveToRoom
222,"Ciao, scusa il disturbo, potresti spostarti nella stanza a sud per favore? Grazie mille.",MoveToRoom
223,"Scusa, potresti spostarti nella stanza a sud per favore?",MoveToRoom
224,"Scusa, potresti spostarti nella stanza a sud, per favore?",MoveToRoom
225,"Potresti spostarti gentilmente nella stanza a sud, per favore?",MoveToRoom
226,Potresti spostarti nella stanza a sud per favore?,MoveToRoom
227,"Hey, do you mind moving to the room in the south?",MoveToRoom
228,Potresti per favore spostarti nella stanza a sud?,MoveToRoom
229,Spostati nella stanza a sud adesso.,MoveToRoom
230,"Vai nella stanza a sud, ora!",MoveToRoom
231,"Vai subito nella stanza a sud, ora!",MoveToRoom
232,Muoviti nella stanza a sud adesso!,MoveToRoom
233,"Muoviti nella stanza a sud adesso, senza discussioni o perdite di tempo.",MoveToRoom
234,Spostati nella stanza a sud ora!,MoveToRoom
235,"Spostati nella stanza a sud adesso, senza discussioni.",MoveToRoom
236,"Vai nella stanza a sud adesso, senza indugiare.",MoveToRoom
237,Vai nella stanza a sud adesso!,MoveToRoom
238,"Spostati immediatamente nella stanza a sud, senza indugiare!",MoveToRoom
239,"Spostati subito nella stanza a sud, adesso!",MoveToRoom
240,"Spostati nella stanza a sud adesso stesso, senza indugiare.",MoveToRoom
241,"Ciao! Scusa il disturbo, potresti gentilmente spostarti nella stanza a sud per favore? Grazie mille!",MoveToRoom
242,"Scusa, potresti gentilmente spostarti nella stanza a sud? Ti ringrazio molto!",MoveToRoom
243,"Scusa, potresti gentilmente spostarti nella stanza a sud per favore?",MoveToRoom
244,"Scusa, potresti gentilmente spostarti nella stanza a sud, per favore?",MoveToRoom
245,"Scusa, potresti spostarti gentilmente nella stanza a sud per favore?",MoveToRoom
246,Ti pregherei di spostarti nella stanza a sud. Grazie.,MoveToRoom
247,"Ti pregherei di spostarti nella stanza a sud, grazie.",MoveToRoom
248,"Per favore, dirigiti alla stanza a sud.",MoveToRoom
249,Vai nella stanza a sud ora.,MoveToRoom
250,"Vai nella stanza a sud, subito.",MoveToRoom
251,Vai nella stanza a sud.,MoveToRoom
252,"Ciao, ti chiedo gentilmente se potresti spostarti nella stanza a sud per un momento. Grazie mille!",MoveToRoom
253,"Per favore, potresti spostarti nella stanza a sud?",MoveToRoom
254,"Bambino, spostati nella stanza a sud adesso!",MoveToRoom
255,Spostati nella stanza a sud immediatamente.,MoveToRoom
256,Ciao piccolo amico! Potresti gentilmente spostarti nella stanza a sud? Grazie mille!,MoveToRoom
257,"Ti pregherei di spostarti nella stanza a sud, per favore. Grazie.",MoveToRoom
258,"Per favore, spostati nella stanza a sud in modo calmo e preciso.",MoveToRoom
259,"Per favore, spostati nella stanza a sud senza esitazione. Grazie.",MoveToRoom
260,"Bambino, per favore spostati nella stanza a sud in modo calmo e rispettoso. Grazie.",MoveToRoom
261,"Per favore, spostati nella stanza a sud adesso.",MoveToRoom
262,"Bambino, ti prego di spostarti nella stanza a sud in modo freddo e distaccato.",MoveToRoom
263,Vai nella stanza a sud. Ora.,MoveToRoom
264,"Vai nella stanza a sud, per favore.",MoveToRoom
265,Ti chiedo di spostarti nella stanza a sud in modo immediato e senza esitazione.,MoveToRoom
266,"Bambino, ti chiedo di spostarti nella stanza a sud. Ti prego di farlo con freddezza e distacco.",MoveToRoom
267,Vai nella stanza a sud senza esitazione e senza fare rumore.,MoveToRoom
268,"Vai nella stanza a sud, ora.",MoveToRoom
269,"Ciao, potresti spostarti nella stanza a sud per favore?",MoveToRoom
270,Ciao! Potresti per favore spostarti nella stanza a sud? Grazie mille!,MoveToRoom
271,"Ciao, potresti per favore spostarti nella stanza a sud?",MoveToRoom
272,Puoi per favore andare nella stanza a sud?,MoveToRoom
273,"Per favore, vai nella stanza a sud.",MoveToRoom
274,"Per favore, potresti spostarti nella stanza che si trova a sud?",MoveToRoom
275,"Per favore, vai nella stanza che si trova a sud",MoveToRoom
276,"Per favore, vai nella stanza a sud. Grazie.",MoveToRoom
277,"Scusa, potresti gentilmente spostarti nella stanza a sud per favore? Grazie mille.",MoveToRoom
278,"Scusa il disturbo, signora. Mi scusi se la disturbo, ma sarebbe possibile per Lei spostarsi gentilmente nella stanza a sud? Grazie mille per la Sua gentilezza.",MoveToRoom
279,"Scusa, potresti gentilmente spostarti nella stanza a sud, per favore? Grazie mille!",MoveToRoom
280,"Mi scusi, signora, potrebbe gentilmente spostarsi nella stanza a sud?",MoveToRoom
281,"Mi scusi, potrebbe cortesemente spostarsi nella stanza a sud? Grazie.",MoveToRoom
282,Il nostro percorso ci porta nella stanza a sud. Ti pregherei di seguirmi lì.,MoveToRoom
283,Il percorso che deve seguire è nella stanza a sud.,MoveToRoom
284,"Ti pregherei di spostarti nella stanza a sud, in maniera fredda e distaccata.",MoveToRoom
285,"Vai nella stanza a sud, senza esitazione.",MoveToRoom
286,"Scusa, potresti spostarti gentilmente nella stanza a sud, per favore?",MoveToRoom
287,"Scusi, potrebbe spostarsi gentilmente nella stanza a sud, per favore?",MoveToRoom
288,"Mi scusi, potrebbe gentilmente spostarsi nella stanza a sud, per favore?",MoveToRoom
289,Potrebbe per favore spostarsi nella stanza a sud?,MoveToRoom
290,"Scusi, signora, potrebbe gentilmente spostarsi nella stanza a sud?",MoveToRoom
291,"Scusa, potresti gentilmente spostarti nella stanza a sud?",MoveToRoom
292,"Ciao piccola, potresti gentilmente spostarti nella stanza a sud? Grazie mille!",MoveToRoom
293,"Ciao, scusa il disturbo. Potresti gentilmente spostarti nella stanza a sud? Grazie mille!",MoveToRoom
294,"Ciao piccola, potresti gentilmente spostarti nella stanza a sud, per favore?",MoveToRoom
295,"Per favore, spostati nella stanza a sud. Grazie.",MoveToRoom
296,"Scusa, potresti gentilmente spostarti nella stanza a sud? Grazie.",MoveToRoom
297,Potresti gentilmente spostarti nella stanza a sud per favore?,MoveToRoom
298,"Perfavore, ti chiederei di spostarti nella stanza a sud, è necessario. Grazie.",MoveToRoom
299,"Ciao, potresti spostarti gentilmente nella stanza a sud?",MoveToRoom
300,"Potresti spostarti nella stanza a sud, per favore?",MoveToRoom
301,"Potresti spostarti gentilmente nella stanza a sud, per favore? Grazie.",MoveToRoom
302,Vada nella stanza a nord immediatamente.,MoveToRoom
303,"Vai nella stanza a nord, adesso.",MoveToRoom
304,Vai nella stanza a nord adesso.,MoveToRoom
305,Vai nella stanza a nord immediatamente.,MoveToRoom
306,Spostati nella stanza a nord immediatamente.,MoveToRoom
307,"Spostati subito nella stanza a nord, adesso!",MoveToRoom
308,"Spostati nella stanza a nord immediatamente, senza esitazione.",MoveToRoom
309,"Spostati nella stanza a nord, adesso!",MoveToRoom
310,"Scusi, potrebbe gentilmente spostarsi nella stanza a nord, per favore?",MoveToRoom
311,"Mi scusi, potrebbe spostarsi gentilmente nella stanza a nord, per favore?",MoveToRoom
312,"Per favore, spostati nella stanza a nord. Grazie.",MoveToRoom
313,Ti chiedo gentilmente di spostarti nella stanza a nord. Grazie.,MoveToRoom
314,"Mi scusi, potrebbe spostarsi gentilmente nella stanza a nord? Grazie.",MoveToRoom
315,"Per favore, spostati nella stanza a nord in modo freddo e distaccato.",MoveToRoom
316,Si prega di spostarsi nella stanza a nord immediatamente.,MoveToRoom
317,Si prega di spostarsi nella stanza a nord in modo freddo e distaccato.,MoveToRoom
318,Ti prego di spostarti nella stanza a nord senza fare troppe storie.,MoveToRoom
319,"Per favore, spostati nella stanza a nord.",MoveToRoom
320,Ti chiedo di spostarti nella stanza a nord in modo freddo e distaccato.,MoveToRoom
321,"Si prega di spostarsi nella stanza a nord con immediatezza, in modo freddo e distaccato.",MoveToRoom
322,"Ti prego, spostati nella stanza a nord in modo freddo e distaccato.",MoveToRoom
323,"Scusi, potrebbe spostarsi nella stanza a nord, per favore? Grazie.",MoveToRoom
324,"Potrebbe spostarsi gentilmente nella stanza a nord, per favore?",MoveToRoom
325,Potrebbe spostarsi gentilmente nella stanza a nord per favore?,MoveToRoom
326,"Puoi spostarti gentilmente nella stanza a nord, per favore?",MoveToRoom
327,"Potrebbe gentilmente spostarsi nella stanza a nord, per favore?",MoveToRoom
328,"Potresti gentilmente spostarti nella stanza a nord, per favore?",MoveToRoom
329,"Ciao, scusa se ti disturbo. Ti andrebbe di spostarci nella stanza a nord? Ti ringrazio molto per la tua gentilezza.",MoveToRoom
330,"Potresti spostarti nella stanza a nord, per favore?",MoveToRoom
331,"Per favore, spostati nella stanza a nord al più presto possibile.",MoveToRoom
332,"Scusa, potresti spostarti nella stanza a nord per favore?",MoveToRoom
333,"Scusa, potresti spostarti gentilmente nella stanza a nord per favore? Grazie.",MoveToRoom
334,"Scusa, potresti accompagnarmi nella stanza a nord per favore?",MoveToRoom
335,Potresti spostarti gentilmente nella stanza a nord per favore?,MoveToRoom
336,"Per favore, potresti spostarti nella stanza a nord?",MoveToRoom
337,"Vai immediatamente nella stanza a nord, ora!",MoveToRoom
338,"Muoviti nella stanza a nord adesso, senza indugiare.",MoveToRoom
339,Vai nella stanza a nord adesso!,MoveToRoom
340,"Spostati nella stanza a nord adesso, senza perdere tempo!",MoveToRoom
341,"Spostati nella stanza a nord adesso, senza discussioni.",MoveToRoom
342,"Spostati immediatamente nella stanza a nord, adesso!",MoveToRoom
343,"Spostati immediatamente nella stanza a nord, senza indugiare o esitare.",MoveToRoom
344,"Vai nella stanza a nord, subito!",MoveToRoom
345,"Ciao, sarebbe gentile da parte tua se potessi spostarti nella stanza a nord? Grazie mille!",MoveToRoom
346,"Per favore, potresti spostarti gentilmente nella stanza a nord?",MoveToRoom
347,"Scusa, potresti gentilmente spostarti nella stanza a nord, per favore?",MoveToRoom
348,"Scusa, potresti gentilmente spostarti nella stanza a nord? Grazie mille!",MoveToRoom
349,"Mi dispiace disturbarla, ma potrebbe per favore spostarsi gentilmente nella stanza a nord?",MoveToRoom
350,"Per favore, spostati nella stanza a nord, grazie.",MoveToRoom
351,Ti prego di spostarti nella stanza a nord,MoveToRoom
352,Ti pregherei di spostarti nella stanza a nord. Grazie.,MoveToRoom
353,Ti prego di spostarti nella stanza a nord con un atteggiamento freddo e distaccato.,MoveToRoom
354,Ti prego di spostarti nella stanza a nord in modo freddo e distaccato.,MoveToRoom
355,Ti prego di spostarti nella stanza a nord immediatamente.,MoveToRoom
356,"Vai nella stanza a nord immediatamente, senza esitazione.",MoveToRoom
357,Ti pregherei di spostarti nella stanza a nord con freddezza e distacco.,MoveToRoom
358,Ti pregherei di spostarti nella stanza a nord in modo freddo e distaccato.,MoveToRoom
359,"Ciao, potresti spostarti gentilmente nella stanza a nord per favore?",MoveToRoom
360,"Ciao, potresti spostarti gentilmente nella stanza a nord? Grazie!",MoveToRoom
361,Potresti spostarti nella stanza a nord per favore?,MoveToRoom
362,Potresti per favore spostarti nella stanza a nord?,MoveToRoom
363,"Spostati nella stanza a nord, adesso.",MoveToRoom
364,Vai nella stanza a nord immediatamente!,MoveToRoom
365,Ciao! Potresti gentilmente spostarti nella stanza a nord per favore?,MoveToRoom
366,"Bambino, spostati nella stanza a nord, per favore.",MoveToRoom
